,,,,,
,City,Hotel,Num_reviews,Chain,Star
,LA,Holiday Inn Express Los Angeles-LAX Airport,96,Yes,3
,LA,Hollywood Hotel,94,No,3
,LA,Homewood Suites by Hilton Los Angeles International Airport,57,Yes,3
,LA,Hotel Angeleno,56,No,3
,LA,Hotel Erwin,62,No,4
,LA,Hotel Figueroa,46,No,4
,LA,Hotel Indigo Los Angeles Downtown,91,Yes,4
,LA,Hotel June,3,,
,LA,Hotel MdR-A DoubleTree by Hilton Hotel,89,Yes,3
,LA,Hyatt Regency Los Angeles International Airport,97,Yes,3
,LA,Inn at Venice Beach,52,No,3
,LA,La Quinta Inn & Suites by Wyndham Lax,50,Yes,3
,LA,Lexen Hotel - North Hollywood,12,No,3
,LA,Maison 140 Beverly Hills,84,No,3
,LA,Malibu Country Inn,3,,
,LA,Ocean Park Inn,45,No,3
,LA,Ocean View Hotel,97,No,3
,LA,Palihouse Santa Monica,88,Yes,3
,LA,Residence Inn by Marriott Los Angeles L.A. LIVE,51,Yes,3
,LA,The Dixie Hollywood,69,No,3
,LA,The Garland,98,No,3
,LA,The Georgian Hotel,93,No,3
,LA,The Kinney,64,No,3
,LA,The LINE Hotel Los Angeles,88,Yes,4
,LA,Wyndham Santa Monica at the Pier,97,Yes,3
,Houston,AC Hotel by Marriott Houston Downtown,6,,
,Houston,Baymont by Wyndham Houston/Westchase,74,Yes,3
,Houston,Best Western Galleria Inn & Suites,57,Yes,3
,Houston,Best Western Plus Hobby Airport Inn & Suites,84,Yes,3
,Houston,Club Quarters Hotel in Houston,1,,
,Houston,"Country Inn & Suites by Radisson, Houston Northwest, TX",63,Yes,2
,Houston,Courtyard Houston by The Galleria,75,Yes,3
,Houston,Days Inn & Suites by Wyndham Houston Hobby Airport,80,Yes,2
,Houston,DoubleTree by Hilton Hotel & Suites Houston by the Galleria,99,Yes,3
,Houston,Embassy Suites by Hilton Houston Downtown,100,Yes,3
,Houston,Embassy Suites by Hilton Houston Near the Galleria,71,Yes,3
,Houston,Embassy Suites By Hilton Houston West - Katy,36,Yes,3
,Houston,Extended Stay America - Houston - Galleria - Uptown,54,Yes,2
,Houston,Extended Stay America - Houston - Med. Ctr. - NRG Park - Braeswood Blvd,74,Yes,2
,Houston,Extended Stay America - Houston - Willowbrook,45,Yes,2
,Houston,Hilton Americas - Houston,96,Yes,4
,Houston,Hilton Garden Inn Houston Hobby Airport,16,Yes,3
,Houston,Hilton Garden Inn Houston Westbelt,30,Yes,3
,Houston,Hilton Houston Post Oak by the Galleria,93,Yes,4
,Houston,Holiday Inn Express & Suites Houston - Hobby Airport Area,3,,
,Houston,Holiday Inn Express & Suites Houston S - Medical Ctr Area,13,Yes,2
,Houston,Holiday Inn Express Houston-Downtown Convention Center,54,Yes,2
,Houston,Holiday Inn Houston Downtown,44,Yes,3
,Houston,Home2 Suites by Hilton Houston Westchase,5,,
,Houston,Homewood Suites by Hilton Houston Downtown,41,Yes,3
,Houston,Homewood Suites By Hilton Houston Memorial,12,Yes,3
,Houston,Hotel Alessandra,17,No,4
,Houston,Hotel Derek Houston Galleria,88,No,4
,Houston,Hotel Granduca Houston,81,No,5
,Houston,Hotel Houston Katy Freeway,8,,
,Houston,"Hotel ICON, Autograph Collection",94,No,4
,Houston,Hotel Indigo Houston at the Galleria,85,Yes,3
,Houston,Hotel ZaZa Houston Memorial City,7,,
,Houston,Hotel ZaZa Houston Museum District,71,No,4
,Houston,Houston Airport Marriott at George Bush Intercontinental,94,Yes,3
,Houston,HYATT House Houston/Galleria,88,Yes,3
,Houston,Hyatt Place Houston Bush Airport,49,Yes,3
,Houston,Hyatt Place Houston/Galleria,69,Yes,3
,Houston,Hyatt Regency Houston,83,Yes,4
,Houston,Hyatt Regency Houston/Galleria,97,Yes,4
